video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow,video_name_datetime
1_2022-09-09-11-06-59,1,10.0,False,False,False,BKN,5500,False,False,2022-09-09 11:06:59+00:00
1_2022-09-09-11-09-33,2,10.0,False,False,False,BKN,5500,False,False,2022-09-09 11:09:33+00:00
1_2022-09-09-11-53-50,5,10.0,False,False,False,BKN,5500,False,False,2022-09-09 11:53:50+00:00
1_2022-09-09-12-30-37,5,10.0,False,False,False,SCT,6000,False,False,2022-09-09 12:30:37+00:00
1_2022-09-09-12-36-03,5,10.0,False,False,False,SCT,6000,False,False,2022-09-09 12:36:03+00:00
1_2022-09-09-12-41-29,6,10.0,False,False,False,SCT,6000,False,False,2022-09-09 12:41:29+00:00
1_2022-09-09-12-46-55,7,10.0,False,False,False,SCT,6000,False,False,2022-09-09 12:46:55+00:00
1_2022-09-09-12-52-27,7,10.0,False,False,False,SCT,6000,False,False,2022-09-09 12:52:27+00:00
1_2022-09-09-12-57-53,7,10.0,False,False,False,CLR,M,False,False,2022-09-09 12:57:53+00:00
1_2022-09-09-13-08-46,9,10.0,False,False,False,CLR,M,False,False,2022-09-09 13:08:46+00:00
1_2022-09-09-13-14-17,10,10.0,False,False,False,CLR,M,False,False,2022-09-09 13:14:17+00:00
1_2022-09-09-13-29-35,5,10.0,False,False,False,CLR,M,False,False,2022-09-09 13:29:35+00:00
1_2022-09-09-14-05-16,7,10.0,False,False,False,CLR,M,False,False,2022-09-09 14:05:16+00:00
1_2022-09-09-14-30-16,2,10.0,False,False,False,CLR,M,False,False,2022-09-09 14:30:16+00:00
1_2022-09-09-15-17-24,3,10.0,False,False,False,CLR,M,False,False,2022-09-09 15:17:24+00:00
1_2022-09-09-15-27-38,2,10.0,False,False,False,CLR,M,False,False,2022-09-09 15:27:38+00:00
1_2022-09-09-16-20-36,3,10.0,False,False,False,CLR,M,False,False,2022-09-09 16:20:36+00:00
1_2022-09-09-17-19-30,2,10.0,False,False,False,CLR,M,False,False,2022-09-09 17:19:30+00:00
1_2022-09-09-17-34-49,3,10.0,False,False,False,CLR,M,False,False,2022-09-09 17:34:49+00:00
1_2022-09-09-18-33-19,4,10.0,False,False,False,CLR,M,False,False,2022-09-09 18:33:19+00:00
1_2022-09-09-18-38-45,4,10.0,False,False,False,CLR,M,False,False,2022-09-09 18:38:45+00:00
1_2022-09-09-18-44-11,3,10.0,False,False,False,CLR,M,False,False,2022-09-09 18:44:11+00:00
1_2022-09-09-19-03-53,2,10.0,False,False,False,CLR,M,False,False,2022-09-09 19:03:53+00:00
1_2022-09-09-19-23-24,3,10.0,False,False,False,CLR,M,False,False,2022-09-09 19:23:24+00:00
1_2022-09-10-18-13-19,3,10.0,False,False,False,BKN,11000,True,False,2022-09-10 18:13:19+00:00
1_2022-09-10-18-17-50,1,10.0,False,False,False,BKN,11000,True,False,2022-09-10 18:17:50+00:00
1_2022-09-10-18-26-47,3,10.0,False,False,False,BKN,11000,True,False,2022-09-10 18:26:47+00:00
1_2022-09-11-13-40-47,1,10.0,False,False,False,OVC,6000,False,False,2022-09-11 13:40:47+00:00
1_2022-09-11-13-45-45,1,10.0,False,False,False,OVC,6000,False,False,2022-09-11 13:45:45+00:00
1_2022-09-11-15-43-00,1,10.0,False,False,False,OVC,6000,False,False,2022-09-11 15:43:00+00:00
1_2022-09-11-17-01-57,1,10.0,False,False,False,FEW,6500,False,False,2022-09-11 17:01:57+00:00
1_2022-11-17-11-24-26,3,10.0,False,False,False,BKN,2800,False,False,2022-11-17 11:24:26+00:00
0_2022-11-17-12-05-08,1,10.0,False,False,False,SCT,2700,False,False,2022-11-17 12:05:08+00:00
1_2022-11-17-12-16-10,2,10.0,False,False,False,SCT,2700,False,False,2022-11-17 12:16:10+00:00
0_2022-11-17-12-16-10,2,10.0,False,False,False,SCT,2700,False,False,2022-11-17 12:16:10+00:00
1_2022-11-17-12-28-36,1,10.0,False,False,False,SCT,2700,False,False,2022-11-17 12:28:36+00:00
0_2022-11-17-12-28-36,1,10.0,False,False,False,SCT,2700,False,False,2022-11-17 12:28:36+00:00
1_2022-11-17-12-41-26,1,10.0,False,False,False,SCT,2700,False,False,2022-11-17 12:41:26+00:00
0_2022-11-17-12-41-26,1,10.0,False,False,False,SCT,2700,False,False,2022-11-17 12:41:26+00:00
1_2022-11-17-14-43-17,5,10.0,False,False,False,OVC,3100,False,False,2022-11-17 14:43:17+00:00
0_2022-11-17-14-43-17,5,10.0,False,False,False,OVC,3100,False,False,2022-11-17 14:43:17+00:00
0_2022-11-17-14-56-25,5,10.0,False,False,False,OVC,3400,False,False,2022-11-17 14:56:25+00:00
1_2022-11-17-15-32-10,7,10.0,False,False,False,OVC,3400,False,False,2022-11-17 15:32:10+00:00
1_2022-11-17-15-39-00,9,10.0,False,False,False,OVC,3400,False,False,2022-11-17 15:39:00+00:00
0_2022-11-17-15-39-00,9,10.0,False,False,False,OVC,3400,False,False,2022-11-17 15:39:00+00:00
1_2022-11-17-15-45-51,7,10.0,False,False,False,OVC,3400,False,False,2022-11-17 15:45:51+00:00
0_2022-11-17-15-45-51,7,10.0,False,False,False,OVC,3400,False,False,2022-11-17 15:45:51+00:00
0_2022-11-17-15-58-30,4,7.0,False,False,False,OVC,2800,False,False,2022-11-17 15:58:30+00:00
1_2022-11-17-16-04-03,2,7.0,False,False,False,OVC,2800,False,False,2022-11-17 16:04:03+00:00
0_2022-11-17-16-04-03,2,7.0,False,False,False,OVC,2800,False,False,2022-11-17 16:04:03+00:00
0_2022-11-17-16-11-13,2,7.0,False,False,False,OVC,2800,False,False,2022-11-17 16:11:13+00:00
1_2022-11-18-07-00-32,2,1.75,False,False,False,FEW,1500,False,True,2022-11-18 07:00:32+00:00
